commit,resolution,iterations,cpu,j,t1,t2,t3
43b8e4,1500x1200,100,i7-1165g7,1,1.280,1.546,1.302
43b8e4,1500x1200,100,i7-1165g7,2,0.907,0.928,0.918
43b8e4,1500x1200,100,i7-1165g7,4,0.794,0.788,0.789
43b8e4,1500x1200,100,i7-1165g7,8,0.793,0.805,0.801
43b8e4,1500x1200,100,r9-5900x,1,1.170,1.157,1.197
43b8e4,1500x1200,100,r9-5900x,12,0.661,0.608,0.617
43b8e4,1500x1200,100,r9-5900x,2,0.805,0.795,0.764
43b8e4,1500x1200,100,r9-5900x,24,0.674,0.672,0.673
43b8e4,1500x1200,100,r9-5900x,3,0.681,0.657,0.658
43b8e4,1500x1200,100,r9-5900x,4,0.621,0.626,0.625
43b8e4,1500x1200,100,r9-5900x,6,0.631,0.620,0.616
43b8e4,1500x1200,100,r9-5900x,8,0.643,0.603,0.600
43b8e4,3000x2400,100,i7-1165j7,1,7.977,8.299,8.513
43b8e4,3000x2400,100,i7-1165j7,2,6.110,6.012,5.370
43b8e4,3000x2400,100,i7-1165j7,4,3.140,3.448,3.563
43b8e4,3000x2400,100,i7-1165j7,8,3.432,3.085,3.404
43b8e4,3000x2400,100,m1pro10,1,3.27,3.06,3.06
43b8e4,3000x2400,100,m1pro10,10,0.78,0.72,0.76
43b8e4,3000x2400,100,m1pro10,2,1.91,1.76,1.74
43b8e4,3000x2400,100,m1pro10,20,0.94,0.89,0.85
43b8e4,3000x2400,100,m1pro10,4,1.05,1.04,1.04
43b8e4,3000x2400,100,m1pro10,8,0.85,0.74,0.77
43b8e4,3000x2400,100,r9-5900x,1,4.213,4.242,4.224
43b8e4,3000x2400,100,r9-5900x,12,2.490,2.507,2.477
43b8e4,3000x2400,100,r9-5900x,2,3.010,2.930,2.977
43b8e4,3000x2400,100,r9-5900x,24,2.649,2.649,2.667
43b8e4,3000x2400,100,r9-5900x,3,2.653,2.637,2.654
43b8e4,3000x2400,100,r9-5900x,4,2.369,2.383,2.403
43b8e4,3000x2400,100,r9-5900x,6,2.388,2.401,2.454
43b8e4,3000x2400,100,r9-5900x,8,2.397,2.400,2.407
9c7e0e,3000x2400,100,m1pro10,1,3.23,3.08,3.04
9c7e0e,3000x2400,100,m1pro10,10,0.78,0.70,0.80
9c7e0e,3000x2400,100,m1pro10,2,1.96,1.88,1.84
9c7e0e,3000x2400,100,m1pro10,20,1.00,0.86,0.85
9c7e0e,3000x2400,100,m1pro10,4,1.12,0.87,0.89
9c7e0e,3000x2400,100,m1pro10,8,0.81,0.75,0.76
